title,year,imdbid,id,bechdelRating,imdbAverageRating,numVotes,runtimeMinutes,genre1,genre2,genre3
Miss Jerry,1894,9,9779,0,5.3,210.0,45,Romance,,
"Story of the Kelly Gang, The",1906,574,1349,1,6.0,882.0,70,Action,Adventure,Biography
Cleopatra,1912,2101,2003,2,5.1,619.0,100,Drama,History,
A Florida Enchantment,1914,3973,4457,2,5.8,299.0,63,Comedy,,
"Birth of a Nation, The",1915,4972,1258,2,6.1,26282.0,195,Drama,History,War
Gretchen the Greenhorn,1916,6745,2008,3,6.4,536.0,58,Crime,Drama,Romance
Intolerance: Love&#39;s Struggle Throughout the Ages,1916,6864,5944,0,7.7,16680.0,163,Drama,History,
Lady Windermere&#39;s Fan,1916,279914,2014,3,5.3,66.0,66,Comedy,Drama,
Snow White,1916,7361,7004,3,6.3,438.0,63,Fantasy,Romance,
A Romance of the Redwoods,1917,8519,2015,0,6.1,858.0,91,Adventure,Comedy,Drama
A Tale of Two Cities,1917,8652,1981,3,6.1,161.0,70,Drama,History,Romance
"Poor Little Rich Girl, The",1917,8443,1994,3,6.7,1540.0,78,Comedy,Drama,Family
"Raffles, the Amateur Cracksman",1917,8489,2019,2,6.4,187.0,70,Adventure,Crime,Romance
Rebecca of Sunnybrook Farm,1917,8499,1993,3,6.3,891.0,78,Comedy,Drama,
Ich mochte kein Mann sein,1918,10281,7108,3,6.8,1632.0,45,Comedy,Romance,
Stella Maris,1918,9652,2007,3,6.9,1557.0,84,Drama,,
Tarzan of the Apes,1918,9682,1996,3,5.8,928.0,73,Action,Adventure,
Broken Blossoms or The Yellow Man and the Girl,1919,9968,2588,0,7.2,11033.0,90,Drama,Romance,
When the Clouds Roll by,1919,10879,2018,3,6.9,976.0,85,Action,Comedy,Romance
"Cabinet of Dr. Caligari, The",1920,10323,1306,0,8.0,69811.0,76,Horror,Mystery,Thriller
Pollyanna,1920,11588,1991,3,6.4,506.0,58,Comedy,Drama,Family
Within Our Gates,1920,11870,5948,3,6.4,3597.0,79,Drama,Romance,
"Blot, The",1921,11979,4204,3,6.7,693.0,91,Drama,Romance,
K&ouml;rkarlen (The Phantom Carriage),1921,12364,5898,2,8.0,14037.0,107,Drama,Fantasy,Horror
"Kid, The",1921,12349,3945,0,8.2,134402.0,68,Comedy,Drama,Family
Orphans of the Storm,1921,12532,1263,3,7.3,5464.0,150,Drama,History,Romance
"Dr. Mabuse, der Spieler - Ein Bild der Zeit",1922,13086,5967,3,7.8,9140.0,242,Crime,Mystery,Thriller
Foolish Wives,1922,13140,5958,3,7.0,4009.0,117,Drama,Thriller,
H&auml;xan: Witchcraft Through the Ages,1922,13257,3800,3,7.6,16627.0,91,Documentary,Fantasy,Horror
"Man from Beyond, The",1922,13367,2001,1,5.3,333.0,74,Mystery,Sci-Fi,
Nanook of the North,1922,13427,5901,1,7.6,13412.0,78,Documentary,,
Nathan der Weise,1922,13428,1778,2,6.9,152.0,128,Drama,History,
"Nosferatu, eine Symphonie des Grauens",1922,13442,1307,2,7.9,105074.0,94,Fantasy,Horror,
"Phantom, The",1922,13496,1631,2,6.7,1947.0,125,Drama,Romance,
A Woman of Paris,1923,14624,8947,2,6.9,6138.0,82,Drama,Romance,
Our Hospitality,1923,14341,5949,0,7.8,12460.0,65,Comedy,Romance,Thriller
Safety Last!,1923,14429,1961,0,8.1,22832.0,74,Action,Comedy,Thriller
"Silent Command, The",1923,14469,1998,2,6.0,103.0,80,Drama,,
Why Worry?,1923,14611,1967,0,7.3,2051.0,63,Adventure,Comedy,Family
Die Nibelungen,1924,15175,1337,2,8.1,6513.0,143,Adventure,Drama,Fantasy
Girl Shy,1924,14945,2016,0,7.7,3646.0,87,Comedy,Romance,
"Great White Silence, The",1924,1764657,2413,0,7.9,1668.0,80,Documentary,,
Greed,1924,15881,8458,3,8.0,10735.0,140,Drama,Thriller,Western
Kriemhild&#39;s Revenge,1924,15174,1338,2,7.9,4968.0,129,Adventure,Drama,Fantasy
Manhandled,1924,15116,2020,3,6.7,1143.0,75,Comedy,Drama,
"Navigator, The",1924,15163,2009,0,7.6,11028.0,59,Action,Comedy,Romance
Sherlock Jr.,1924,15324,2011,0,8.2,56665.0,45,Action,Comedy,Romance
"Thief of Bagdad, The",1924,15400,1264,0,7.7,6949.0,155,Adventure,Family,Fantasy
Wild Oranges,1924,15498,1960,0,6.7,565.0,88,Drama,Romance,
Battleship Potemkin,1925,15648,1308,0,7.9,61291.0,75,Drama,History,Thriller
"Big Parade, The",1925,15624,5962,2,7.9,7242.0,151,Drama,Romance,War
